file,i,j,compressed,num_pages,input_bytes_plain,input_bytes_hybrid,output_bytes_plain,output_bytes_hybrid,num_values_plain,num_values_hybrid,time
/dev/shm/with_compression/parquet-3/lineitem.parquet,11,0,1,7,1341725,1116839,4194304,4194304,524288,524288,4043
/dev/shm/with_compression/parquet-3/lineitem.parquet,12,0,1,7,1339484,1118725,4186112,4202496,523264,525312,4051
/dev/shm/with_compression/parquet-3/lineitem.parquet,13,0,1,7,1338314,1119650,4186112,4202496,523264,525312,4040
/dev/shm/with_compression/parquet-3/lineitem.parquet,14,0,1,7,1340093,1115094,4194304,4194304,524288,524288,4024
/dev/shm/with_compression/parquet-3/lineitem.parquet,15,0,1,7,1338791,1116073,4186112,4202496,523264,525312,4017
/dev/shm/with_compression/parquet-3/lineitem.parquet,16,0,1,7,1339659,1113548,4186112,4202496,523264,525312,4004
/dev/shm/with_compression/parquet-3/lineitem.parquet,17,0,1,2,169799,165176,0,1366536,0,170817,747
/dev/shm/with_compression/parquet-3/lineitem.parquet,0,1,1,9,5044297,334387,7200768,1187840,900096,148480,6691
/dev/shm/with_compression/parquet-3/lineitem.parquet,1,1,1,9,5045147,334385,7200768,1187840,900096,148480,6751
/dev/shm/with_compression/parquet-3/lineitem.parquet,2,1,1,9,5044250,334394,7200768,1187840,900096,148480,6752
/dev/shm/with_compression/parquet-3/lineitem.parquet,3,1,1,9,5044618,334388,7200768,1187840,900096,148480,6788
/dev/shm/with_compression/parquet-3/lineitem.parquet,4,1,1,9,5044464,334383,7200768,1187840,900096,148480,6782
/dev/shm/with_compression/parquet-3/lineitem.parquet,5,1,1,9,5042869,334391,7200768,1187840,900096,148480,6769
/dev/shm/with_compression/parquet-3/lineitem.parquet,6,1,1,9,5044675,334385,7200768,1187840,900096,148480,6760
/dev/shm/with_compression/parquet-3/lineitem.parquet,7,1,1,9,5044490,334383,7200768,1187840,900096,148480,6786
/dev/shm/with_compression/parquet-3/lineitem.parquet,8,1,1,9,5044623,334400,7200768,1187840,900096,148480,6804
/dev/shm/with_compression/parquet-3/lineitem.parquet,9,1,1,9,5044012,334400,7200768,1187840,900096,148480,6802
/dev/shm/with_compression/parquet-3/lineitem.parquet,10,1,1,9,5046379,334394,7200768,1187840,900096,148480,6800
/dev/shm/with_compression/parquet-3/lineitem.parquet,11,1,1,9,5044037,334400,7200768,1187840,900096,148480,6798
/dev/shm/with_compression/parquet-3/lineitem.parquet,12,1,1,9,5044541,334383,7200768,1187840,900096,148480,6788
/dev/shm/with_compression/parquet-3/lineitem.parquet,13,1,1,9,5044020,334387,7200768,1187840,900096,148480,6790
/dev/shm/with_compression/parquet-3/lineitem.parquet,14,1,1,9,5044821,334385,7200768,1187840,900096,148480,6807
/dev/shm/with_compression/parquet-3/lineitem.parquet,15,1,1,9,5043269,334385,7200768,1187840,900096,148480,6803
/dev/shm/with_compression/parquet-3/lineitem.parquet,16,1,1,9,5045645,334383,7200768,1187840,900096,148480,6802
/dev/shm/with_compression/parquet-3/lineitem.parquet,17,1,1,3,753629,334385,178696,1187840,22337,148480,1262
/dev/shm/with_compression/parquet-3/lineitem.parquet,0,2,1,3,123661,1968282,0,8388608,0,1048576,1295
/dev/shm/with_compression/parquet-3/lineitem.parquet,1,2,1,3,123735,1968282,0,8388608,0,1048576,1269
/dev/shm/with_compression/parquet-3/lineitem.parquet,2,2,1,3,123714,1968282,0,8388608,0,1048576,1249
/dev/shm/with_compression/parquet-3/lineitem.parquet,3,2,1,3,123647,1968282,0,8388608,0,1048576,1272
/dev/shm/with_compression/parquet-3/lineitem.parquet,4,2,1,3,123728,1968282,0,8388608,0,1048576,1274
/dev/shm/with_compression/parquet-3/lineitem.parquet,5,2,1,3,123717,1968282,0,8388608,0,1048576,1259
/dev/shm/with_compression/parquet-3/lineitem.parquet,6,2,1,3,123659,1968282,0,8388608,0,1048576,1241
/dev/shm/with_compression/parquet-3/lineitem.parquet,7,2,1,3,123668,1968282,0,8388608,0,1048576,1242
/dev/shm/with_compression/parquet-3/lineitem.parquet,8,2,1,3,123732,1968282,0,8388608,0,1048576,1242
/dev/shm/with_compression/parquet-3/lineitem.parquet,9,2,1,3,123713,1968282,0,8388608,0,1048576,1241
/dev/shm/with_compression/parquet-3/lineitem.parquet,10,2,1,3,123703,1968282,0,8388608,0,1048576,1240
/dev/shm/with_compression/parquet-3/lineitem.parquet,11,2,1,3,123677,1968282,0,8388608,0,1048576,1243
/dev/shm/with_compression/parquet-3/lineitem.parquet,12,2,1,3,123614,1968282,0,8388608,0,1048576,1254
/dev/shm/with_compression/parquet-3/lineitem.parquet,13,2,1,3,123691,1968282,0,8388608,0,1048576,1253
/dev/shm/with_compression/parquet-3/lineitem.parquet,14,2,1,3,123749,1968282,0,8388608,0,1048576,1256
/dev/shm/with_compression/parquet-3/lineitem.parquet,15,2,1,3,123697,1968282,0,8388608,0,1048576,1258
/dev/shm/with_compression/parquet-3/lineitem.parquet,16,2,1,3,123701,1968282,0,8388608,0,1048576,1249
/dev/shm/with_compression/parquet-3/lineitem.parquet,17,2,1,2,123250,320661,0,1366536,0,170817,430
/dev/shm/with_compression/parquet-3/lineitem.parquet,0,3,1,2,40,251059,0,8388608,0,1048576,699
/dev/shm/with_compression/parquet-3/lineitem.parquet,1,3,1,2,40,250648,0,8388608,0,1048576,699
